Name,Type,Evar / Prop Number,Persistence,Fox Corp Spec Equivalent Dimension Name,Fox Corp Spec Equivalent Dimension Value,Description,Context Data Variable,Value Formula,Example Values,Priority,Category,Legacy Native Adobe Implementation Context Data,Adobe Processing Rules Accepted Context Data,Products,Dev & QA Notes
Member Name/ID (c21),Prop,21,Hit,,,"Captures the same member name or ID as Member Name/ID (v21) but at the hit level, allowing for detailed reporting on specific user actions during their session. This supports granular analysis of member interactions and personalized reporting.",,,,,,,,,
New vs Repeat Visitor (30 days) (v22),Evar,22,Visit,"Sovled by ""Out of the Box"" Adobe dimensions","Sovled by ""Out of the Box"" Adobe dimensions","Categorizes visitors as “New” or “Repeat” based on their interaction history within the past 30 days. This visit-level dimension is essential for understanding user retention, engagement patterns, and the effectiveness of marketing efforts aimed at attracting new users.",newvsrepeatvisitors,,"Repeat	
New	
Unspecified	",P0 - Blocker/Critical,Page Attributes,"s.prop22
s.eVar22",,,
New vs. Repeat Visitors (30 days) (c22),Prop,22,Hit,"Sovled by ""Out of the Box"" Adobe dimensions","Sovled by ""Out of the Box"" Adobe dimensions","Tracks the same new vs. repeat visitor classification as New vs. Repeat Visitor (30 days) (v22) but at the hit level. This allows for granular analysis of user interactions segmented by visitor type, supporting detailed engagement reporting.",newvsrepeatvisitors,,,,,,,,
New Visitors Pages (c23),Prop,23,Hit,,,"Tracks the pages viewed specifically by new visitors during their session. This hit-level dimension is useful for analyzing how new users interact with content, identifying entry points, and optimizing pages to improve first-time user engagement.",,,,,,,,,
Repeat Visitors Pages (c24),Prop,24,Hit,,,"Captures the pages viewed by repeat visitors. This dimension enables granular analysis of the behavior of returning users, supporting strategies to maintain loyalty and improve engagement through tailored content.",,,,,,,,,
GeoSegementation (v25),Evar,25,Visit,"Sovled by ""Out of the Box"" Adobe dimensions","Sovled by ""Out of the Box"" Adobe dimensions","Categorizes users into geographic segments based on their IP address or location metadata, such as continent, region, or metropolitan area. This visit-level dimension supports high-level analysis of user behavior across geographic regions, aiding in market-specific strategies.",n/a - Create a Context Data Variable,,"usa:il:chicago	
usa:ny:new york	
usa:ga:atlanta	
usa:tx:houston	
usa:tx:dallas	",P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
GeoSegmentation (c25),Prop,25,Hit,"Sovled by ""Out of the Box"" Adobe dimensions","Sovled by ""Out of the Box"" Adobe dimensions","Tracks the same geographic segmentation data as GeoSegmentation (v25) but at the hit level. This dimension provides detailed insights into location-specific user interactions, helping to refine localized content and offerings.
",n/a - Create a Context Data Variable,,"usa:il:chicago	
usa:ny:new york	
usa:ga:atlanta	
usa:tx:houston	
usa:tx:dallas	",,,,,,
Visitor Number Per Month (v26),Evar,26,Visit,"Sovled by ""Out of the Box"" Adobe dimensions","Sovled by ""Out of the Box"" Adobe dimensions",Tracks the unique visitor count for the current month. This visit-level dimension helps measure monthly active users (MAU) and assess overall platform growth or engagement trends on a recurring basis.,visitornumberpermonth,,"Unspecified	
NA	
P	
L	
#{omtr.prop26 || 'NA'}	
LP	
PL	",P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Visit Number per Month (c26),Prop,26,Hit,"Sovled by ""Out of the Box"" Adobe dimensions","Sovled by ""Out of the Box"" Adobe dimensions","Captures the cumulative count of visits per user for the current month at the hit level. This dimension enables analysis of visit frequency trends, supporting initiatives to encourage more frequent platform interactions.",visitornumberpermonth,,"Unspecified	
NA	
P	
L	
#{omtr.prop26 || 'NA'}	
LP	
PL	",,,,,,
Days Since Last Visit (v27),Evar,27,Visit,"Sovled by ""Out of the Box"" Adobe dimensions","Sovled by ""Out of the Box"" Adobe dimensions","Tracks the number of days since the user’s last visit to the platform. This visit-level dimension is essential for recency analysis, enabling segmentation of users based on their return frequency and supporting re-engagement strategies for inactive users.",dayssincelastvisit,,"Less than 1 day	
Less than 7 days	
First Visit	
More than 7 days	
More than 30 days	",P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Days Since Last Visit (c27),Prop,27,Hit,"Sovled by ""Out of the Box"" Adobe dimensions","Sovled by ""Out of the Box"" Adobe dimensions","Tracks the number of days since the user’s last visit at the hit level. This dimension complements Days Since Last Visit (v27) by providing granular data for detailed interaction analysis, enabling precise segmentation for re-engagement strategies.",dayssincelastvisit,,"Less than 1 day	
Less than 7 days	
First Visit	
More than 7 days	
More than 30 days	",,,,,,
Application/Lead Name/ID (c28),Prop,28,Hit,,,"Captures the name or unique identifier of an application or lead at the hit level. This dimension supports detailed tracking of user interactions with application processes or lead forms, aiding in performance analysis and optimization of conversion funnels.",,,,,,,,,
Share: Name (v29),Evar,29,Visit,,,"Tracks the name of the content being shared (e.g., “Article Title” or “Video Name”) at the visit level. This dimension provides insights into the types of content users are sharing and helps optimize shareable content strategies.",,,network share	,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Share: Name/ID (c29),Prop,29,Hit,,,"Captures the same content name or ID as Share: Name (v29) but at the hit level. This supports a more granular understanding of specific user interactions with shareable content.
",,,,,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Share: Format (v30),Evar,30,Hit,,,"Tracks the format of the content being shared (e.g., “Image,” “Text,” “Video”). This visit-level dimension enables analysis of which content formats are most shared, helping refine content creation strategies.",n/a - Create a Context Data Variable,,"internal campaign; channel=fnc/root; code=hp1bt1; external_link=0

internal campaign; channel=fnc/root; code=hp1bt1; external_link=0

internal campaign; channel=fnc/root; code=hp1bt3; external_link=0",P0 - Blocker/Critical,Page Attributes,"s.prop30
s.eVar30",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Share: Format (c30),Prop,30,Hit,,,Captures the same content format as Share: Format (v30) but at the hit level. This dimension provides detailed insights into sharing behavior across various formats during individual interactions.,n/a - Create a Context Data Variable,,"internal campaign; channel=fnc/root; code=hp1bt1; external_link=0

internal campaign; channel=fnc/root; code=hp1bt1; external_link=0

internal campaign; channel=fnc/root; code=hp1bt3; external_link=0",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Show: ID (v31),Evar,31,Visit,Page: Content ID (v11),11,Identifies the unique ID of a show or program being viewed at the visit level. This dimension supports analysis of show-specific engagement and helps optimize programming strategies based on audience preferences.,,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Show: ID (c31),Prop,31,Hit,Page: Content ID (v11),11,Captures the same show ID as Show: ID (v31) but at the hit level. This allows for granular reporting on user interactions with specific shows during individual sessions.,,,,,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Show: Name (v32),Evar,32,Visit,Content Name (variable),Out of the box dimension,"Tracks the name of the show or program being viewed at the visit level (e.g., “Morning News,” “Weekly Recap”). This dimension helps measure audience engagement and preferences for specific programming.",show,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Show: Name (c32),Prop,32,Hit,Content Name (variable),Out of the box dimension,"Captures the name of the show or program being viewed at the hit level (e.g., “Morning News,” “Weekly Recap”). This complements Show: Name (v32) by enabling granular tracking of user interactions with specific programs during individual sessions.",show,,,,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Show: Category Tags (v33),Evar,33,Hit,Video: Content Tags (v33),33,rewrite,videocategory,,"on_air,on_air|faulkner_focus,personality,personality|harris_faulkner,primary_politics",P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Show: Category Tags (c33),Prop,33,Hit,Video: Content Tags (v33),33,rewrite,videocategory,,"on_air,on_air|faulkner_focus,personality,personality|harris_faulkner,primary_politics",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Show: Personality (v34),Evar,34,Visit,,,"Captures the name of the main personality or host featured in the show (e.g., “John Doe,” “Jane Smith”) at the visit level. This dimension helps analyze audience engagement with specific personalities and optimize programming based on viewer preferences.",personality,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Show: Personality (c34),Prop,34,Hit,,,Records the same show personality or host as Show: Personality (v34) but at the hit level. This provides granular data on interactions with content featuring specific hosts or personalities.,personality,,,,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio",
Show: Format (c35),Prop,35,Hit,,,"Tracks the format of the show being viewed at the hit level (e.g., “Live Broadcast,” “Recorded Episode,” “Highlight Reel”). This dimension supports analysis of user preferences for various show formats and helps optimize content delivery strategies.",,,,,,,,,
Show: Advertiser Name/ID (c36),Prop,36,Hit,,,"Captures the name or unique identifier of the advertiser associated with a show. This dimension is crucial for analyzing advertising performance, tracking which advertisers are associated with high-engagement content, and ensuring proper attribution.",,,,,,,,,
Video Player (v37),Evar,37,Visit,,,"Identifies the video player used by the user during their visit (e.g., “HTML5 Player,” “Third-Party Player”). This dimension supports analysis of video player performance, user preferences, and compatibility issues across devices and platforms.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Video Player (c37),Prop,37,Hit,,,"Tracks the specific video player used during an interaction at the hit level (e.g., “HTML5 Player,” “Third-Party Player”). This dimension complements Video Player (v37) by providing detailed insights into user interactions with different video players on a per-session basis.",,,,,,,,,
Embedded Show Host (v38),Evar,38,Visit,,,"Captures the host or personality featured in an embedded show at the visit level. This dimension helps analyze audience engagement with embedded content hosted by specific personalities, supporting optimization of syndication strategies.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Embedded Player Host (c38),Prop,38,Hit,,,"Tracks the platform or host for an embedded player (e.g., “YouTube,” “Vimeo”) at the hit level. This dimension provides granular insights into user interactions with embedded content from different platforms, supporting platform-specific analysis.",,,,,,,,,
Playlist Name (c39),Prop,39,Hit,,,"Captures the name of the playlist being viewed by the user (e.g., “Top 10 Highlights,” “Daily News Roundup”). This dimension is essential for understanding which playlists drive engagement and optimizing playlist curation strategies.",,,,,,,,,
Alt Pages Report (c40),Prop,40,Hit,,,,altpagesreport,,,,,,,,
Time Parting: Hour (v41),Evar,41,Visit,,,"Captures the hour of the day when a user interacts with the site or app, recorded at the visit level. This dimension supports time-of-day analysis to optimize content delivery and campaigns based on peak usage times.
",hour,,,P3 - Minor,Page Attributes,"s.prop25
s.eVar25",,,
Time Parting: Hour (c41),Prop,41,Hit,,,Tracks the same hourly interaction data as Time Parting: Hour (v41) but at the hit level. This dimension enables detailed analysis of hourly engagement trends on a per-interaction basis.,hour,,,P3 - Minor,,,,,
Time Parting: Day (v42),Evar,42,Visit,,,"Identifies the day of the week when a user interacts with the site or app at the visit level. This dimension is useful for understanding weekly engagement patterns, helping plan content releases and campaigns.",,,,P3 - Minor,Page Attributes,"s.prop25
s.eVar25",,,
Time Parting: Day (c42),Prop,42,Hit,,,Tracks the same day-of-week data as Time Parting: Day (v42) but at the hit level. This dimension allows for granular analysis of daily engagement trends for specific user actions.,,,,P3 - Minor,,,,,
Cross Visit Campaigns (v43),Evar,43,Week,,,"Tracks campaigns that span across multiple visits by the same user. This dimension is crucial for understanding long-term campaign performance, especially for campaigns aimed at nurturing users over time to drive conversions or engagement.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Cross Visit Channels (v44),Evar,44,Week,,,"Captures the channels through which a user interacted with the site across multiple visits (e.g., “Email,” “Social Media,” “Paid Search”). This dimension helps analyze the cumulative impact of various channels in driving user engagement or conversions over time.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Campaign Channel (v45),Evar,45,Week,,,"Identifies the marketing channel associated with a campaign at the visit level (e.g., “Organic Search,” “Display Ads”). This dimension is essential for attributing user actions to specific marketing channels, supporting multi-channel performance analysis.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Campaign Channel Name (c45),Prop,45,Hit,,,"Tracks the same marketing channel as Campaign Channel (v45) but at the hit level. This enables granular reporting of individual user interactions with content or actions attributed to specific channels.
",,,,,,,,,
Campaign Channel Keywords (v46),Evar,46,Week,,,"Captures the keywords associated with the campaign channel at the visit level (e.g., search terms or keyword groups used in paid or organic search campaigns). This dimension supports keyword performance analysis, helping refine campaign strategies.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Campaign Channel Keywords (c46),Prop,46,Hit,,,Tracks the same keyword data as Campaign Channel Keywords (v46) but at the hit level. This dimension provides granular insights into specific interactions associated with campaign-related keywords.,,,,,,,,,
Campaign Channel Partner (v47),Evar,47,Week,,,"Identifies the partner or third-party entity associated with the campaign channel (e.g., “Google Ads,” “Facebook Ads”) at the visit level. This dimension supports performance analysis of campaigns by partner, aiding in budget allocation and partnership evaluations.",externalcampaigns,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Campaign Channel Partner (c47),Prop,47,Hit,,,"Captures the same partner information as Campaign Channel Partner (v47) but at the hit level. This enables detailed reporting of user interactions driven by specific partners, supporting granular campaign optimization.",externalcampaigns,,,,,,,,
Campaign Channel Referrer (v48),Evar,48,Week,,,"Captures the referring domain or URL that directed users to the campaign channel at the visit level (e.g., “google.com,” “facebook.com”). This dimension supports detailed attribution analysis, providing insights into the sources driving traffic to specific campaigns.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Slideshow: Name/ID (v49),Evar,49,Visit,,,"Tracks the name or unique ID of the slideshow being viewed during the visit. This dimension helps measure engagement with slideshow content, providing insights into which slideshows attract the most users.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Slideshow: Name/ID (c49),Prop,49,Hit,,,Captures the same slideshow name or ID as Slideshow: Name/ID (v49) but at the hit level. This supports granular analysis of user interactions with specific slideshows during individual sessions.,,,,,,,,,
Slideshow: Photo Name/ID (v50),Evar,50,Visit,,,"Tracks the name or unique ID of a photo within a slideshow at the visit level. This dimension provides insights into user preferences for specific images, helping optimize visual content strategies.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Video Name (v52),Evar,52,Visit,,,"Captures the name or title of the video being viewed during the visit (e.g., “Top 10 Highlights,” “Daily Recap”). This dimension enables performance analysis of video content, helping identify high-engagement titles.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Video Name (c52),Prop,52,Hit,,,Tracks the same video name as Video Name (v52) but at the hit level. This dimension supports detailed reporting on user interactions with individual video content during specific interactions.,,,,,,,,,
Classifications (v53),Evar,53,Hit,Page: Content Tags (v110),110,Content tags capture all the information about the content of an article defined by the editor in the the CMS during publishing.,"page_content_tags
category",,"/FOX NEWS/POLITICS
/FOX NEWS/ENTERTAINMENT/Celebrity News,/FOX NEWS/ENTERTAINMENT",P0 - Blocker/Critical,Page Attributes,"s.prop53
s.eVar53",,,
Classifications (c53),Prop,53,Hit,,,Content tags capture all the information about the content of an article defined by the editor in the the CMS during publishing.,"page_content_tags
category",,"/FOX NEWS/POLITICS
/FOX NEWS/ENTERTAINMENT/Celebrity News,/FOX NEWS/ENTERTAINMENT",,,,,,
Publish Date (v54),Evar,54,Visit,Page: Content Original Publish Date (v102),102,"Tracks the publish date of the content being viewed at the visit level. This dimension is essential for analyzing user engagement with new versus older content and supports time-based content performance evaluations.
","page_content_original_publish_date
publishdate",,"2022-10-20
2022-10-19
2022-10-18",P0 - Blocker/Critical,Page Attributes,"s.prop54
s.eVar54",,,
Publish Date (c54),Prop,54,Hit,,,"Captures the same publish date as Publish Date (v54) but at the hit level. This enables granular analysis of user interactions with content based on its publish date, helping to optimize content strategies for different lifecycle stages.","page_content_original_publish_date
publishdate",,"2022-10-20
2022-10-19
2022-10-18",P1 - Major,,,,,
Media Preview Type (v56),Evar,56,Hit,,,Tracks the type of media preview on a homepage or content tile when the user interacts (clicks).,media_preview_type,,"Muted Video Player 
Hola Spark Powered Preview
Gif
Image
Full Video Player
",P1 - Major,App & Site Attributes,,,,"Dev Notes:
1. Determine Preview Type Logic
    - For each homepage tile, identify the media preview type (e.g. muted video, Hola Spark preview, GIF, or image).
    - Use any existing logic or flags in your codebase that already detect the type of tile preview.
1. Set Data Layer & eVar Value
    - When the homepage tile is rendered (or when the user clicks), populate the data layer property (e.g., media_preview_type) with the appropriate string value.
    - Ensure the analytics beacon or event call includes this data layer value and maps it to v56.
1. Fallback Handling
    - If there is no preview type or the content is an article (non-video), assign a default value (e.g., ""Image"" if it uses a static thumbnail, or ""None"" if there's truly no preview).

QA Notes:
1. Test Homepage Tiles
    - Verify each tile variant (Muted Video Player, Hola Spark Powered Preview, GIF, Image) triggers the correct v56 value in Adobe Analytics.
    - Use debugging tools (e.g., the Network tab, Adobe Experience Cloud Debugger or Charles proxy) to confirm the data layer and analytics calls set the correct string.
1. Cross-Device & Cross-Browser Validation
    - Confirm the logic works consistently across desktop, mobile web, and any app implementations (if relevant).
1. Edge Cases
    - Confirm that non-video (article or live blog) tiles correctly set a default or fallback value for v56.
    - Check that no unexpected values appear in your reporting (e.g., typographical differences like “MutedVideoPlayer” or “Muted video” that break grouping in reports).
1. Reporting Validation
    - In your Adobe Analytics environment, verify the dimension is spelled correctly and that you see the expected buckets (i.e., “Muted Video Player,” “Hola Spark Powered Preview,” “Gif,” “Image,” and potentially “None” or “N/A”).

"
Political Party (c57),Prop,57,Hit,,,"Categorizes content or user preferences based on political party alignment (e.g., “Democrat,” “Republican,” “Independent”). This dimension supports tailored content delivery and audience segmentation for politically-oriented platforms or campaigns.",,,,,,,,,
AB Test Bucket (v58),Evar,58,Hit,,,"Tracks the A/B test group or variation assigned to the user during their visit. This dimension is vital for analyzing the effectiveness of different test variations, helping improve user experience and conversion rates.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Prev Page Max | Initial % Viewed (c58),Prop,58,Hit,,,"Records the maximum percentage of the previous page that was viewed by the user before navigating to the current page. This dimension provides insights into user attention and scrolling behavior, aiding in optimizing content layout and flow.",,,,,,,,,
Viewport Width x CSS Pixel Height (c59),Prop,59,Hit,,,"Tracks the viewport size in terms of CSS pixel dimensions (e.g., 1024x768). This dimension helps analyze user device configurations and optimize content design for various screen sizes.",,,,,,,,,
Video Play Type (v60),Evar,60,Visit,,,"Captures the type of video play initiated by the user during their visit (e.g., “Autoplay,” “User-Initiated Play”). This dimension supports analysis of video engagement based on playback behavior, helping refine video strategies.",playtype,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Display Width x Real Pixel Height (c60),Prop,60,Hit,,,"Tracks the physical dimensions of the user’s display in terms of real pixels (e.g., 1920x1080). This dimension provides insights into the resolution of user devices, helping optimize visual content delivery.",playtype,,,,,,,,
User ID (mid) (v61),Evar,61,Visit,,,"Tracks a unique identifier for the user (e.g., “Marketing ID” or “Member ID”) during their visit. This dimension supports user-level analysis for personalization, retention strategies, and advanced segmentation.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Pixel Density (c61),Prop,61,Hit,,,"Captures the pixel density of the user’s display (e.g., “1x,” “2x,” “3x”). This dimension helps analyze device quality and display capabilities, supporting optimization of visual content for high-resolution screens.",,,,,,,,,
Video Player Name (v62),Evar,62,Visit,,,"Tracks the name of the video player being used (e.g., “YouTube Player,” “Custom HTML5 Player”) during the visit. This dimension supports analysis of player performance, user preferences, and compatibility across devices and platforms.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Device Orientation (c62),Prop,62,Hit,,,"Captures the orientation of the user’s device at the time of interaction (e.g., “Portrait,” “Landscape”). This dimension helps analyze user behavior based on screen orientation, particularly for responsive design and mobile content optimization.",,,,,,,,,
Ad Blocker (c63),Prop,63,Hit,,,Indicates whether the user is utilizing an ad blocker during their session. This dimension is essential for analyzing the impact of ad-blocking on revenue and identifying audiences with restricted ad visibility.,,,,,,,,,
Page Load Events (c64),Prop,64,Hit,,,"Tracks specific page load events (e.g., “DOM Ready,” “Full Page Load”) at the hit level. This dimension is crucial for performance monitoring, identifying slow-loading pages, and improving user experience through faster load times.",pageloadevents,,,,,,,,
Experiment Name | Experiment Variation (v65),Evar,65,Visit,Page: Test Name (v65),65,"Captures the name of the experiment and the specific variation the user is exposed to (e.g., “Homepage Redesign | Variation B”). This dimension supports A/B and multivariate testing, providing insights into which designs or content variations perform best.",page_test_name,,"""{""""Sports Strip Fix"""":""""Variation 1"""",""""America Together part 2"""":""""Variation 1"""",""""Credible Outbrain"""":""""Variation 1"""",""""A/A - Flush Test Web - New"""":""""Variation 1"""",""""Shows Landing page Show removal"""":""""Variation 1""""}""	

""{""""Sports Strip Fix"""":""""Variation 1"""",""""America Together part 2"""":""""Variation 1"""",""""Credible Outbrain"""":""""Variation 1"""",""""A/A - Flush Test Web - New"""":""""baseline"""",""""TV Nav Bar Experiment"""":""""baseline"""",""""Shows Landing page Show removal"""":""""Variation 1""""}""	",P0 - Blocker/Critical,Page Attributes,s.eVar65,,,
Partner Video ID (v66),Evar,66,Hit,Page: Test Name (v65),65,Tracks the unique identifier of a video provided by a third-party partner. This dimension supports analysis of syndicated video performance and partner-specific contributions to user engagement.,v66,,,P0 - Blocker/Critical,Page Attributes,,,,
Internal Link URL (v74),Evar,74,Hit,Page: URL (v75),75,"Captures the URL of internal links clicked during a visit. This dimension is useful for analyzing navigation patterns and identifying key paths users follow within the site, helping optimize internal linking strategies.","internal_link_url
",,,P0 - Blocker/Critical,Page Attributes,,,,
Page URL (v75),Evar,75,Visit,Page: URL (v75),75,"Captures the full URL of the page being viewed during a visit. This dimension is essential for detailed analysis of user navigation patterns, content performance, and session behavior.",page_url,,www.foxnews.com/video/6316166251112,P0 - Blocker/Critical,Page Attributes,"s.prop75
s.eVar75",,Fox News Web,
Page URL (c75),Prop,75,Hit,,,,,,,,,,,,
MyFoxUserRegister (v80),Evar,80,Visit,,,"Tracks the status or occurrence of a user registration event through the MyFox platform. This dimension supports analysis of user acquisition, onboarding trends, and the effectiveness of registration campaigns.
",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Registered User (v82),Evar,82,Visit,,,"Indicates whether the user is a registered member of the platform. This dimension is critical for distinguishing between registered and guest users, enabling personalized engagement strategies and retention analysis.",evar82 (currently how this is set),,"TRUE
FALSE",P1 - Major,Page Attributes,s.eVar82,,,
Banner Properties (v85),Evar,85,Visit,,,"Tracks attributes of banners displayed to users (e.g., size, placement, content type). This dimension is useful for analyzing the effectiveness of banner designs and placements, optimizing for engagement and conversion.",,,,P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
Nation Auto Login T/F (v87),Evar,87,Visit,,,Identifies whether the user was automatically logged in via the Nation feature. This boolean dimension supports analysis of seamless login experiences and their impact on user retention and engagement.,,,"TRUE
FALSE",P0 - Blocker/Critical,Page Attributes,"s.prop25
s.eVar25",,,
