Event Name,Description,Event #,Event Type,MVP Evars And Props,Minimum Viable Evars,Minimum Viable Props,Full Integration,Priority,Conditions to fire,Implementation Packages,Dev & QA Notes
Notification Interaction (event77),"The Web Notification Sign-up event captures when a user successfully subscribes to receive web notifications. This event is critical for understanding audience growth and engagement with push notifications. Metadata should include the subscription source (e.g., homepage prompt, content-specific pop-up) and user consent status. The event should trigger only upon a confirmed subscription, avoiding false triggers from partial or failed attempts. Ensure compatibility with browser notification APIs and handle edge cases, such as denied permissions or user cancellations.",77,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P2,This should fire when a user opt's in to receive notifications on web. ,"Notification Tracking,Fox X.ID","Dev Instructions:
- Trigger this event when a user successfully signs up for web notifications, ensuring the subscription process is completed and confirmed.
- Include all required and minimum viable dimensions specified in the spec.
- Configure logic to prevent duplicate event triggers for repeated sign-up attempts within the same session.
QA Instructions:
- Validate the event triggers only upon successful notification sign-up on the web platform.
- Verify the event payload includes all required and minimum viable dimensions.
- Test edge cases such as incomplete sign-ups, browser permissions issues, or user cancellations to ensure no false positives.
- Use debugging tools to inspect event payload accuracy under various conditions.
"
Notification Close (event78),"The Web Notification Close event tracks when a user explicitly dismisses or closes a web notification pop-up. This event provides insights into user interaction and receptiveness to notifications. It should trigger only for user-initiated close actions (e.g., clicking a close button) and not for auto-dismissals or timeouts. Metadata should include the notification ID, type, and the page or context where the notification was displayed. Logic should differentiate between user engagement and passive dismissals, ensuring accurate tracking.",78,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P3,This should fire when a user closes a notification on web. ,"Notification Tracking,Fox X.ID","Dev Instructions:
- Fire this event when a user explicitly closes or dismisses a web notification.
- Ensure all required and minimum viable dimensions are included in the event payload.
- Configure logic to fire only when the close action is user-initiated (e.g., clicking the close button) and not due to automatic dismissal.
QA Instructions:
- Test the event triggers upon user-initiated close actions on web notifications.
- Verify the inclusion of all required and minimum viable dimensions in the event payload.
- Confirm the event does not fire for auto-dismissed notifications.
- Inspect payloads using debugging tools to ensure accuracy and completeness.
"
OS Push Interaction (event79),,79,,"Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,"Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,,,,
Profile Sign Up Completed (event80),"The MyFoxUserRegister event captures when a user successfully creates a new account on the Fox platform. This event helps analyze registration funnel performance and user acquisition trends. Metadata should include the registration source (e.g., homepage, campaign link), user type (e.g., free or premium), and any referral information. The event should only fire after all required fields are validated, and the registration process is successfully completed. Logic should ensure no duplicate triggers during retries or errors.",80,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,"Fire this event upon successful user registration with a verified email address or other required credentials. This event should not trigger on partial or incomplete registrations, ensuring only fully completed actions are logged.","Fox Profile,Fox X.ID","Dev Instructions:
- Trigger this event upon the successful registration of a user account through the MyFox platform.
- Include all required and minimum viable dimensions as specified in the spec.
- Ensure the event does not fire for incomplete registrations or failed submissions.
QA Instructions:
- Validate the event triggers only upon successful user registrations across all platforms.
- Verify that all required and minimum viable dimensions are included in the event payload.
- Test edge cases, such as duplicate email entries or invalid formats, to ensure no false positives.
- Use debugging tools to confirm payload accuracy and completeness under various scenarios.
"
Profile Initiated (event82),,82,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,,"Fox Profile,Fox X.ID",
NatVidEmailGate (event83),"The NatVidEmailGate event tracks when a user encounters an email gate while trying to access gated Nation video content. This event provides insights into how often users interact with email gating mechanisms and their impact on content engagement. Metadata should include the video ID, gate context (e.g., free trial, subscription requirement), and the source of the video. The event should trigger only when the email gate is fully displayed to the user, avoiding false positives for partial or failed loads.",83,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P2,"This should fire when a user has been presented gated content, by which they need to submit their email to proceed. ",Fox X.ID,"Dev Instructions:
- Fire this event when a user encounters an email gate while attempting to view a native video.
- Ensure all required and minimum viable dimensions are captured in the event payload.
- Configure logic to prevent duplicate event firing for the same video session.
QA Instructions:
- Validate the event triggers correctly when users encounter an email gate during native video playback across all platforms.
- Verify that all required and minimum viable dimensions are included in the event payload.
- Test scenarios such as navigating away from the video or reattempting access to confirm proper event behavior.
- Use debugging tools to ensure event payload accuracy.
"
NatVidEmailUnlock (event84),"The NatVidEmailUnlock event captures when a user successfully unlocks gated Nation video content by providing a valid email address. This event is crucial for understanding user willingness to share contact information in exchange for content access. Metadata should include the video ID, user email domain (e.g., @gmail.com), and the gate context (e.g., free access, promotional content). The event should fire only upon successful email submission and unlocking of the content, avoiding duplicate triggers for retries.",84,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P2,"This should fire when a user has been presented gated content, by which they need to submit their email to proceed. ",Fox X.ID,"Dev Instructions:
- Trigger this event when a user successfully unlocks a native video by providing their email address.
- Include all required and minimum viable dimensions in the event payload as per the spec.
- Ensure the event fires only once per successful unlock and is not retriggered on the same session.
QA Instructions:
- Validate the event triggers only upon successful email submissions that unlock the video.
- Verify the event payload includes all required and minimum viable dimensions.
- Test edge cases such as invalid emails, submission errors, and retries to ensure proper event handling.
- Use debugging tools to inspect event payloads for accuracy and completeness.
"
Profile Sign In Completed (Log In Click) (event85),"The Profile Sign In Completed event tracks when a user successfully logs into their account after clicking the ""Log In"" button. This event provides insights into active user sessions and authentication success rates. Metadata should include the login method (e.g., email/password, social login), platform type, and any associated user identifiers. Ensure the event fires only upon successful authentication, not on unsuccessful attempts or partial logins.",85,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,"This should fire when a user has been presented gated content, by which they need to submit their email to proceed. ","Fox Profile,Fox X.ID,Article Gating","Dev Instructions:
- Trigger this event when a user successfully logs in to their profile by clicking the ""Log In"" button and completing any required authentication process.
- Ensure all required and minimum viable dimensions are included in the event payload.
- Prevent duplicate triggers if the user navigates back to the login screen or reauthenticates within the same session.
QA Instructions:
- Validate the event triggers only upon successful login actions across all platforms.
- Verify the event payload includes all required and minimum viable dimensions.
- Test edge cases such as failed logins, session expirations, and multi-factor authentication to ensure no false positives.
- Use debugging tools to confirm payload accuracy under various scenarios.
"
Content Gate Impression (event86),"The Content Gate Impression event captures when a user encounters a content gate, such as a paywall or restricted access prompt, while attempting to view gated content. This event helps analyze the reach and visibility of content gating mechanisms. Metadata should include the gate type (e.g., subscription, registration), the content ID being gated, and the user session context. The event should fire only once per gate impression within a session, ensuring no duplicate logging during retries or navigation back to the gated content.",86,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,This should fire when unsuccessfully attempting to sign up for a newsletter using an email address. ,"Fox X.ID,Article Gating","Dev Instructions:
- Fire this event when a user encounters a content gate (e.g., paywall or restricted access prompt) while attempting to access gated content.
- Include all required and minimum viable dimensions in the event payload.
- Configure logic to trigger the event only once per unique content gate impression within a session.
QA Instructions:
- Validate the event triggers when users encounter content gates across platforms.
- Verify the event payload includes all required and minimum viable dimensions.
- Test edge cases such as multiple attempts to access gated content or navigating away and returning to ensure no redundant event triggers.
- Inspect event payloads with debugging tools for accuracy and completeness.
"
Live Blog Subscriber (event90),"The Live Blog Subscriber event tracks when a user subscribes to updates or notifications for a live blog. This event is essential for understanding engagement with live content and the effectiveness of subscription mechanisms. Metadata should include the live blog ID, subscription source (e.g., homepage, live blog interface), and user preferences (e.g., notification type or frequency). The event should fire only upon successful subscription confirmation and handle platform-specific nuances, such as mobile push notifications or web email updates.",90,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P1,This should fire when a user has subscribed to the live blog. ,Fox X.ID,"Dev Instructions:
- Trigger this event when a user successfully subscribes to updates or notifications for a live blog.
- Ensure the event includes all required and minimum viable dimensions as specified in the spec.
- Configure the logic to fire only once per successful subscription, avoiding duplicates for retries within the same session.
QA Instructions:
- Validate the event triggers upon successful live blog subscription actions.
- Verify the event payload includes all required and minimum viable dimensions.
- Test scenarios such as duplicate subscription attempts or failed submissions to confirm proper event behavior.
- Use debugging tools to confirm payload accuracy under various conditions.
"
Banner Impression (event92),"The Banner Impression event tracks when a banner ad or promotional element is displayed on the user’s screen. This event helps measure the visibility and reach of banners. It should trigger when at least 50% of the banner’s dimensions are visible for a minimum duration (e.g., 1 second). Metadata should include the banner ID, placement context (e.g., homepage, article page), and campaign identifiers. Ensure the event does not redundantly fire for the same banner during a single session.",92,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P2,This should fire when a banner enters the users view. ,Fox X.ID,"Dev Instructions:
- Fire this event when a banner ad or promotional element becomes visible on the user’s screen for at least 50% of its dimensions and meets the visibility duration threshold (e.g., 1 second or more).
- Ensure all required and minimum viable dimensions are captured in the event payload.
- Configure logic to prevent duplicate event firing for the same banner within the same session.
QA Instructions:
- Validate the event triggers when banner impressions meet visibility and duration criteria across all platforms.
- Verify the inclusion of all required and minimum viable dimensions in the event payload.
- Test scenarios such as rapid scrolling or overlapping banners to ensure proper event firing.
- Inspect payloads using debugging tools for accuracy and completeness.
"
Banner Action (event93),"The Banner Action event tracks user interactions with a banner, such as clicking or tapping to navigate to linked content. This event is crucial for analyzing banner effectiveness and user engagement. Metadata should include the banner ID, action type (e.g., click, tap), and the destination context. The event should fire only upon successful interaction, avoiding triggers from hover events or invalid clicks.",93,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P2,This should fire when a user clicks to interact with an element within the banner. ,Fox X.ID,"Dev Instructions:
- Trigger this event when a user clicks or interacts with a banner ad or promotional element.
- Include all required and minimum viable dimensions in the event payload.
- Ensure the event fires only once per interaction, avoiding redundant triggers for repeated clicks on the same banner.
QA Instructions:
- Validate the event triggers upon user interactions with banners across all platforms.
- Verify the event payload includes all required and minimum viable dimensions.
- Test scenarios such as rapid or repeated clicks on banners to ensure proper event handling.
- Use debugging tools to confirm payload accuracy under various conditions.
"
